src,from,problem,index,complexity
"
class
Main 
{ 

/* Function to get index of 

ceiling of x in arr[low..high]*/

static
int
ceilSearch(
int
arr[], 
int
low, 
int
high, 
int
x) 

{ 

int
mid; 


/* If x is smaller than or equal to the 

first element, then return the first element */

if
(x <= arr[low]) 

return
low; 


/* If x is greater than the last 

element, then return -1 */

if
(x > arr[high]) 

return
-
1
; 


/* get the index of middle element 

of arr[low..high]*/

mid = (low + high)/
2
; 
/* low + (high - low)/2 */


/* If x is same as middle element, 

then return mid */

if
(arr[mid] == x) 

return
mid; 


/* If x is greater than arr[mid], then 

either arr[mid + 1] is ceiling of x or 

ceiling lies in arr[mid+1...high] */

else
if
(arr[mid] < x) 

{ 

if
(mid + 
1
<= high && x <= arr[mid+
1
]) 

return
mid + 
1
; 

else

return
ceilSearch(arr, mid+
1
, high, x); 

} 


/* If x is smaller than arr[mid], 

then either arr[mid] is ceiling of x 

or ceiling lies in arr[mid-1...high] */

else

{ 

if
(mid - 
1
>= low && x > arr[mid-
1
]) 

return
mid; 

else

return
ceilSearch(arr, low, mid - 
1
, x); 

} 

} 



/* Driver program to check above functions */

public
static
void
main (String[] args) 

{ 

int
arr[] = {
1
, 
2
, 
8
, 
10
, 
10
, 
12
, 
19
}; 

int
n = arr.length; 

int
x = 
8
; 

int
index = ceilSearch(arr, 
0
, n-
1
, x); 

if
(index == -
1
) 

System.out.println(
""Ceiling of ""
+x+
"" doesn't exist in array""
); 

else

System.out.println(
""ceiling of ""
+x+
"" is ""
+arr[index]); 

} 
} ",CorCod,882,882,logn
"import java.io.BufferedReader;
import java.io.InputStreamReader;

public class Dont {
    static BufferedReader jin = new BufferedReader( new InputStreamReader( System.in ) );
    static long n;
    static long x, y;

    public static void main(String[] args) throws Exception {
        n = nextLong();
        x = nextLong();
        y = nextLong();
        System.out.println( (max(n-x, n-y) < max(x-1, y-1))? ""Black"" : ""White"" );
    }

    static long max(long a, long b) {
        return (a > b)? a : b ;
    }

    static long nextLong() throws Exception {
        long res = 0;
        int ch = jin.read();
        while(ch < '0' || '9' < ch) ch = jin.read();
        while('0'<= ch && ch <= '9') {
            res = res*10 + ch - '0';
            ch = jin.read();
        }
        return res;
    }
}",CorCod,735,735,constant
"
import
java.util.Arrays; 

public
class
Test 
{ 

static
int
arr[] = 
new
int
[]{
1
, 
2
, 
3
, 
4
, 
5
}; 


// Method for rotation 

static
void
rotate() 

{ 

int
x = arr[arr.length-
1
], i; 

for
(i = arr.length-
1
; i > 
0
; i--) 

arr[i] = arr[i-
1
]; 

arr[
0
] = x; 

} 


/* Driver program */

public
static
void
main(String[] args) 

{ 

System.out.println(
""Given Array is""
); 

System.out.println(Arrays.toString(arr)); 


rotate(); 


System.out.println(
""Rotated Array is""
); 

System.out.println(Arrays.toString(arr)); 

} 
} ",CorCod,112,112,linear
"
// Java implementation of simple method to find 
// minimum difference between any pair 

class
GFG 
{ 

// Returns minimum difference between any pair 

static
int
findMinDiff(
int
[] arr, 
int
n) 

{ 

// Initialize difference as infinite 

int
diff = Integer.MAX_VALUE; 


// Find the min diff by comparing difference 

// of all possible pairs in given array 

for
(
int
i=
0
; i<n-
1
; i++) 

for
(
int
j=i+
1
; j<n; j++) 

if
(Math.abs((arr[i] - arr[j]) )< diff) 

diff = Math.abs((arr[i] - arr[j])); 


// Return min diff 

return
diff; 

} 


// Driver method to test the above function 

public
static
void
main(String[] args) 

{ 

int
arr[] = 
new
int
[]{
1
, 
5
, 
3
, 
19
, 
18
, 
25
}; 

System.out.println(
""Minimum difference is ""
+ 

findMinDiff(arr, arr.length)); 


} 
} ",CorCod,558,558,quadratic
"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStream;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.*;
public class gr1 {

    static class InputReader {
        public BufferedReader br;
        public StringTokenizer token;
        public InputReader(InputStream stream)
        {
            br=new BufferedReader(new InputStreamReader(stream),32768);
            token=null;
        }

        public String next()
        {
            while(token==null || !token.hasMoreTokens())
            {
                try
                {
                    token=new StringTokenizer(br.readLine());
                }
                catch(IOException e)
                {
                    throw new RuntimeException(e);
                }
            }
            return token.nextToken();
        }

        public int nextInt()
        {
            return Integer.parseInt(next());
        }

        public long nextLong()
        {
            return Long.parseLong(next());
        }

        public double nextDouble()
        {
            return Double.parseDouble(next());
        }
    }

    static class card{
        long a;
        int cnt;
        int i;
        public card(long a,int cnt,int i)
        {
            this.a=a;
            this.cnt=cnt;
            this.i=i;
        }
    }

    static class ascend implements Comparator<pair>
    {
        public int compare(pair o1,pair o2)
        {
            if(o1.b!=o2.b)
                return (int)(o1.b-o2.b);
            else 
                return (int)(o1.a-o2.a);
        }
    }

    /*static class descend implements Comparator<pair>
    {
    public int compare(pair o1,pair o2)
    {
    if(o1.a!=o2.a){
    return (o1.a-o2.a)*-1;
    } else {
    return (o1.b-o2.b);
    }
    }
    }*/

    static class extra
    {

        static void shuffle(long a[])
        {
            List<Long> l=new ArrayList<>();
            for(int i=0;i<a.length;i++)
                l.add(a[i]);
            Collections.shuffle(l);
            for(int i=0;i<a.length;i++)
                a[i]=l.get(i);
        }

        static long gcd(long a,long b)
        {
            if(b==0)
                return a;
            else
                return gcd(b,a%b);
        }

        static boolean valid(int i,int j,int r,int c)
        {
            if(i>=0 && i<r && j>=0 && j<c)
                return true;
            else
                return false;
        }

        static boolean v[]=new boolean[100001];
        static List<Integer> l=new ArrayList<>();
        static int t;
        static void seive()
        {
            for(int i=2;i<100001;i++)
            {
                if(!v[i])
                {
                    t++;
                    l.add(i);
                    for(int j=2*i;j<100001;j+=i)
                        v[j]=true;
                }
            }
        }

        static int binary(pair a[],int val,int n)
        {
            int mid=0,l=0,r=n-1,ans=0;
            while(l<=r)
            {
                mid=(l+r)>>1;
                if(a[mid].a==val)
                {
                    r=mid-1;
                    ans=mid;
                }
                else if(a[mid].a>val)
                    r=mid-1;
                else
                {
                    l=mid+1;
                    ans=l;
                }
            }
            return (ans);
        }
    }

    static class pair{
        long a;
        int b;
        public pair(long a,int n)
        {
            this.a=a;
            this.b=n;
        }
    }
    static InputReader sc=new InputReader(System.in);
    static PrintWriter out=new PrintWriter(System.out);
    public static void main(String[] args) {
        solver s=new solver();
        int t=1;
        while(t>0)
        {
            s.solve();
            t--;
        }
    }
    static class solver
    {
        void solve()
        {
            int n=sc.nextInt();
            int a[]=new int[n];
            int sum=0;
            for(int i=0;i<n;i++)
            {
                a[i]=sc.nextInt();
                sum+=a[i];
            }
            Arrays.sort(a);
            int k=(int)Math.round(4.5*n)-sum;
           // System.out.println((int)Math.round(4.5*n)+"" ""+k+"" ""+sum);
            if(k<=0)
            {
                System.out.println(0);
            }
            else
            {
                int p=0,ans=0;
                for(int i=0;i<n;i++)
                {
                    if(a[i]!=5)
                    {
                        p+=5-a[i];
                        if(p>=k){
                            ans++;
                            System.out.println(ans);
                            break;
                        }
                        ans++;
                    }
                }
            }
        }
    }
}",CorCod,718,718,nlogn
"
// Java program to find the maximum 
// sum such that no three are 
// consecutive using recursion. 
import
java.util.Arrays; 

class
GFG 
{ 

static
int
arr[] = {
100
, 
1000
, 
100
, 
1000
, 
1
}; 
static
int
sum[] = 
new
int
[
10000
]; 

// Returns maximum subsequence 
// sum such that no three 
// elements are consecutive 
static
int
maxSumWO3Consec(
int
n) 
{ 

if
(sum[n] != -
1
) 

return
sum[n]; 


//Base cases (process first three elements) 


if
(n == 
0
) 

return
sum[n] = 
0
; 


if
(n == 
1
) 

return
sum[n] = arr[
0
]; 


if
(n == 
2
) 

return
sum[n] = arr[
1
] + arr[
0
]; 


// Process rest of the elements 

// We have three cases 

return
sum[n] = Math.max(Math.max(maxSumWO3Consec(n - 
1
), 

maxSumWO3Consec(n - 
2
) + arr[n - 
1
]), 

arr[n - 
2
] + arr[n - 
1
] + maxSumWO3Consec(n - 
3
)); 


} 

// Driver code 
public
static
void
main(String[] args) 
{ 

int
n = arr.length; 

Arrays.fill(sum, -
1
); 

System.out.println(maxSumWO3Consec(n)); 
} 
} 

// This code is contributed by Rajput-Ji ",CorCod,32,32,linear
"import java.util.*;
public class Pizza {

	public static void main(String[] args)
	{
		Scanner sc = new Scanner(System.in);
		long num = sc.nextLong() + 1;
		sc.close();
		System.out.println(num % 2 == 0 || num == 1 ? num / 2 : num);
	}
	
}
",CorCod,869,869,constant
"package geek.livingstone.problems.arrays;

/**
 * Full problem at
 * http://www.geeksforgeeks.org/search-floor-and-ceil-in-a-sorted-array/
 * 
 * @author emmanuel
 * 
 */
public class FloorInSortedArray {
	public static int floor(int[] A, int val) throws Exception {
		if (val < A[0])
			throw new Exception(""All elements are greater than val"");
		else if (val > A[A.length - 1])
			return A[A.length - 1];
		return floor(A, 0, A.length - 1, val);
	}

	private static int floor(int[] A, int l, int r, int val) throws Exception {
		if (l > r) {
			throw new Exception(""Not found"");
		}
		int mid = (l + r) / 2;
		if (val == A[mid])
			return A[mid];
		else if (val < A[mid]) {
			if (val >= A[mid - 1])
				return A[mid - 1];
			return floor(A, l, mid - 1, val);
		} else {
			if (val < A[mid + 1])
				return A[mid];
			return floor(A, mid + 1, r, val);
		}
	}

	public static void main(String[] args) throws Exception {
		int[] A = new int[] { 1, 3, 4, 7, 8, 12, 32, 45, 78, 98 };
		// System.out.println(floor(A, -45));
		System.out.println(floor(A, 11));
		System.out.println(floor(A, 32));
		System.out.println(floor(A, 70));
		System.out.println(floor(A, 125));
	}

}",CorCod,879,879,logn
"//package fourninetysixDiv3;
import java.util.HashMap;
import java.util.Scanner;
public class Median_Segments_general {

	public static void main(String[] args) {
		Scanner s = new Scanner(System.in);
		int n = s.nextInt();
		int m = s.nextInt();
		int[] arr = new int[n];
		for (int i = 0; i < n; i++) {
			arr[i] = s.nextInt();
		}
		System.out.println(func(n, m, arr)-func(n, m+1, arr));
	}
	public static long func(int n,int m,int[] arr) {
		HashMap<Long, Integer> map = new HashMap<>();
		map.put((long) 0, 1);
		long sum = 0;
		long res = 0;
		long add=0;
		for(int i=0;i<n;i++) {
			if(arr[i]<m) {
				sum--;
				if(map.containsKey(sum)) {
					add-=map.get(sum);
				}
			}
			else {
				if(map.containsKey(sum)) {
					add+=map.get(sum);
				}
				sum++;
			}
			res+=add;
			if(map.containsKey(sum)) {
				map.put(sum, map.get(sum)+1);
			}
			else {
				map.put(sum,1);
			}
		}
		return res;
	}
}
",CorCod,642,642,nlogn
"
// Java program to find lexicographically minimum 
// value after k swaps. 
class
GFG { 


// Modifies arr[0..n-1] to lexicographically 

// smallest with k swaps. 

static
void
minimizeWithKSwaps(
int
arr[], 
int
n, 
int
k) 

{ 

for
(
int
i = 
0
; i < n-
1
&& k > 
0
; ++i) 

{ 


// Set the position where we want 

// to put the smallest integer 

int
pos = i; 

for
(
int
j = i+
1
; j < n ; ++j) 

{ 


// If we exceed the Max swaps 

// then terminate the loop 

if
(j - i > k) 

break
; 


// Find the minimum value from i+1 to 

// max k or n 

if
(arr[j] < arr[pos]) 

pos = j; 

} 


// Swap the elements from Minimum position 

// we found till now to the i index 

int
temp; 


for
(
int
j = pos; j>i; --j) 

{ 

temp=arr[j]; 

arr[j]=arr[j-
1
]; 

arr[j-
1
]=temp; 

} 


// Set the final value after swapping pos-i 

// elements 

k -= pos-i; 

} 

} 


// Driver method 

public
static
void
main(String[] args) 

{ 


int
arr[] = {
7
, 
6
, 
9
, 
2
, 
1
}; 

int
n = arr.length; 

int
k = 
3
; 


minimizeWithKSwaps(arr, n, k); 


//Print the final Array 

for
(
int
i=
0
; i<n; ++i) 

System.out.print(arr[i] +
"" ""
); 

} 
} 

// This code is contributed by Anant Agarwal. ",CorCod,524,524,quadratic
