src,back-translation,index
"public class Param
{
                
      public static  void main( String[]args) 
    {
       MyScanner param = new MyScanner();
      out = new PrintWriter(new BufferedOutputStream(System.out));
       long l2 =param.nextLong();
       long dice1=param.nextLong();
       long dice2=param.nextLong();
      
       long l1=1;
       long r1=1;
       long r2=l2;
       long count=0;
       long check=0;
       count=l2-dice1;
       count=count+(r2-dice2);
       check=dice1-l1;
       check=check+(dice2-r1);
       if(check<=count){
          System.out.println(""White"");
       }
       else{
          System.out.println(""Black"");
       }
      out.close();
}
public static PrintWriter out;
      
   
   public static class MyScanner {
      BufferedReader br;
      StringTokenizer st;
 
      public MyScanner() {
         br = new BufferedReader(new InputStreamReader(System.in));
      }
 
      String next() {
          while (st == null || !st.hasMoreElements()) {
              try {
                  st = new StringTokenizer(br.readLine());
              } catch (IOException e) {
                  e.printStackTrace();
              }
          }
          return st.nextToken();
      }
 
      int nextInt() {
          return Integer.parseInt(next());
      }
 
      long nextLong() {
          return Long.parseLong(next());
      }
 
      double nextDouble() {
          return Double.parseDouble(next());
      }
 
      String nextLine(){
          String str = """";
	  try {
	     str = br.readLine();
	  } catch (IOException e) {
	     e.printStackTrace();
	  }
	  return str;
      }
}
}","public class Param {
    public static void main(String[] args) {
        MyScanner param = new MyScanner();
        out = new PrintWriter(new BufferedOutputStream(System.out));
        long l2 = param.nextLong();
        long dice1 = param.nextLong();
        long dice2 = param.nextLong();

        long l1 = 1;
        long r1 = 1;
        long r2 = l2;
        long count = 0;
        long check = 0;
        count = l2 - dice1;
        count = count + (r2 - dice2);
        check = dice1 - l1;
        check = check + (dice2 - r1);
        if (check <= count) {
            System.out.println(""White"");
        } else {
            System.out.println(""Black"");
        }
        out.close();
    }

    public static PrintWriter out;

    public static class MyScanner {
        BufferedReader br;
        StringTokenizer st;

        public MyScanner() {
            br = new BufferedReader(new InputStreamReader(System.in));
        }

        String next() {
            while (st == null || !st.hasMoreElements()) {
                try {
                    st = new StringTokenizer(br.readLine());
                } catch (IOException e) {
                    e.printStackTrace();
                }
            }
            return st.nextToken();
        }

        int nextInt() {
            return Integer.parseInt(next());
        }

        long nextLong() {
            return Long.parseLong(next());
        }

        double nextDouble() {
            return Double.parseDouble(next());
        }

        String nextLine() {
            String str = """";
            try {
                str = br.readLine();
            } catch (IOException e) {
                e.printStackTrace();
            }
            return str;
        }
    }
}",63
"public class Dont {
    static BufferedReader jin = new BufferedReader( new InputStreamReader( System.in ) );
    static long n;
    static long x, y;

    public static void main(String[] args) throws Exception {
        n = nextLong();
        x = nextLong();
        y = nextLong();
        System.out.println( (max(n-x, n-y) < max(x-1, y-1))? ""Black"" : ""White"" );
    }

    static long max(long a, long b) {
        return (a > b)? a : b ;
    }

    static long nextLong() throws Exception {
        long res = 0;
        int ch = jin.read();
        while(ch < '0' || '9' < ch) ch = jin.read();
        while('0'<= ch && ch <= '9') {
            res = res*10 + ch - '0';
            ch = jin.read();
        }
        return res;
    }
}","public class Dont {
    static BufferedReader jin = new BufferedReader(new InputStreamReader(System.in));
    static long n;
    static long x, y;

    public static void main(String[] args) throws Exception {
        n = getNextLong();
        x = getNextLong();
        y = getNextLong();
        System.out.println((maximum(n - x, n - y) < maximum(x - 1, y - 1)) ? ""Black"" : ""White"");
    }

    static long maximum(long a, long b) {
        return (a > b) ? a : b;
    }

    static long getNextLong() throws Exception {
        long res = 0;
        int ch = jin.read();
        while (ch < '0' || '9' < ch) ch = jin.read();
        while ('0' <= ch && ch <= '9') {
            res = res * 10 + ch - '0';
            ch = jin.read();
        }
        return res;
    }
}",64
"class
GFG { 

public
static
int
N = 
1000
; 




static
int
prefixans[] = 
new
int
[
1000
]; 


public
static
void
countIndex(
int
a[], 
int
n) 
{ 






for
(
int
i = 
0
; i < n; i++) { 

if
(i + 
1
< n && a[i] == a[i + 
1
]) 

prefixans[i] = 
1
; 


if
(i != 
0
) 

prefixans[i] += prefixans[i - 
1
]; 

} 
} 



public
static
int
answer_query(
int
l, 
int
r) 
{ 

if
(l == 
0
) 

return
prefixans[r - 
1
]; 

else

return
prefixans[r - 
1
] - 

prefixans[l - 
1
]; 
} 


public
static
void
main(String args[]) 
{ 

int
a[] = {
1
, 
2
, 
2
, 
2
, 
3
, 
3
, 
4
, 
4
, 
4
}; 

int
n = 
9
; 




countIndex(a, n); 


int
L, R; 




L = 
1
; 

R = 
8
; 


System.out.println(answer_query(L, R)); 




L = 
0
; 

R = 
4
; 

System.out.println(answer_query(L, R)); 
} 
}","class GFG { public static int N = 1000; static int prefixans[] = new int[1000]; public static void countIndex(int a[], int n) { for (int i = 0; i < n; i++) { if (i + 1 < n && a[i] == a[i + 1]) prefixans[i] = 1; if (i != 0) prefixans[i] += prefixans[i - 1]; } } public static int answer_query(int l, int r) { if (l == 0) return prefixans[r - 1]; else return prefixans[r - 1] - prefixans[l - 1]; } public static void main(String args[]) { int a[] = {1, 2, 2, 2, 3, 3, 4, 4, 4}; int n = 9; countIndex(a, n); int L, R; L = 1; R = 8; System.out.println(answer_query(L, R)); L = 0; R = 4; System.out.println(answer_query(L, R)); } }",65
"public class Main {


    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
         int hp = scanner.nextInt();
        if (hp%4 == 1){
            System.out.println(""0 A"");
        }
        else if (hp%4 == 2){
            System.out.println(""1 B"");
        }
        else if (hp%4 == 3){
            System.out.println(""2 A"");
        }
        else {
            System.out.println(""1 A"");
        }

    }
    }","public class Main {

    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int hp = scanner.nextInt();
        switch (hp % 4) {
            case 1:
                System.out.println(""0 A"");
                break;
            case 2:
                System.out.println(""1 B"");
                break;
            case 3:
                System.out.println(""2 A"");
                break;
            default:
                System.out.println(""1 A"");
        }
    }
}",66
"public class mainA {
    public static PrintWriter out = new PrintWriter(System.out);
    public static FastScanner enter = new FastScanner(System.in);

    public static void main(String[] args) throws IOException {
        int x=enter.nextInt();
        if(x%4==0){
            System.out.println(1 +"" A"");
        }
        else if(x%4==1){
            System.out.println(0+"" A"");
        }
        else if(x%4==2){
            System.out.println(1+"" B"");
        }
        else if(x%4==3){
            System.out.println(2+"" A"");
        }
    }

    static class FastScanner {
        BufferedReader br;
        StringTokenizer stok;

        FastScanner(InputStream is) {
            br = new BufferedReader(new InputStreamReader(is));
        }

        String next() throws IOException {
            while (stok == null || !stok.hasMoreTokens()) {
                String s = br.readLine();
                if (s == null) {
                    return null;
                }
                stok = new StringTokenizer(s);
            }
            return stok.nextToken();
        }

        int nextInt() throws IOException {
            return Integer.parseInt(next());
        }

        long nextLong() throws IOException {
            return Long.parseLong(next());
        }

        double nextDouble() throws IOException {
            return Double.parseDouble(next());
        }

        char nextChar() throws IOException {
            return (char) (br.read());
        }

        String nextLine() throws IOException {
            return br.readLine();
        }
    }
}","public class newMain {
    public static PrintWriter out = new PrintWriter(System.out);
    public static FastScanner enter = new FastScanner(System.in);

    public static void main(String[] args) throws IOException {
        int x = enter.nextInt();
        if (x % 4 == 0) {
            System.out.println(1 + "" A"");
        } else if (x % 4 == 1) {
            System.out.println(0 + "" A"");
        } else if (x % 4 == 2) {
            System.out.println(1 + "" B"");
        } else if (x % 4 == 3) {
            System.out.println(2 + "" A"");
        }
    }

    static class FastScanner {
        BufferedReader br;
        StringTokenizer stok;

        FastScanner(InputStream is) {
            br = new BufferedReader(new InputStreamReader(is));
        }

        String next() throws IOException {
            while (stok == null || !stok.hasMoreTokens()) {
                String s = br.readLine();
                if (s == null) {
                    return null;
                }
                stok = new StringTokenizer(s);
            }
            return stok.nextToken();
        }

        int nextInt() throws IOException {
            return Integer.parseInt(next());
        }

        long nextLong() throws IOException {
            return Long.parseLong(next());
        }

        double nextDouble() throws IOException {
            return Double.parseDouble(next());
        }

        char nextChar() throws IOException {
            return (char) (br.read());
        }

        String nextLine() throws IOException {
            return br.readLine();
        }
    }
}",67
"public class TokitsukazeAndEnhancement {
	
	static char check(int n) {
		if(n%4 == 0)
			return 'D';
		if(n%4 == 1)
			return 'A';
		if(n%4 == 2)
			return 'C';
		return 'B';
	}
	
	public static void main(String[] args) throws Exception {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		PrintWriter pw = new PrintWriter(System.out);
		StringTokenizer st;
		int n = Integer.parseInt(br.readLine());
		int a = n + 1;
		int b = n + 2;
		char n1 = check(n);
		char a1 = check(a);
		char b1 = check(b);
		char sol = (char) Math.min(Math.min(a1, b1),n1);
		if(sol == n1)
			pw.println(0 + "" "" + sol);
		else if(sol == a1)
			pw.println(1 + "" "" + sol);
		else if(sol == b1)
			pw.println(2 + "" "" + sol);
		pw.close();
	}
}","public class TokitsukazeAndEnhancement {

    static char check(int n) {
        if (n % 4 == 0)
            return 'D';
        if (n % 4 == 1)
            return 'A';
        if (n % 4 == 2)
            return 'C';
        return 'B';
    }

    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        PrintWriter pw = new PrintWriter(System.out);
        StringTokenizer st;
        int n = Integer.parseInt(br.readLine());
        int a = n + 1;
        int b = n + 2;
        char n1 = check(n);
        char a1 = check(a);
        char b1 = check(b);
        char sol = (char) Math.min(Math.min(a1, b1), n1);
        if (sol == n1)
            pw.println(0 + "" "" + sol);
        else if (sol == a1)
            pw.println(1 + "" "" + sol);
        else if (sol == b1)
            pw.println(2 + "" "" + sol);
        pw.close();
    }
}",68
"public class problem2 {
    static class tile implements Comparable<tile> {
        int number;
        int suit;

        public int compareTo(tile b){

            return number - b.number;
        }

    }
    public static void main(String[] args) {


        Scanner sc = new Scanner(System.in);
        String line = sc.nextLine();
        String[] parts = line.split("" "");

        tile[] tiles = new tile[3];
        for(int i = 0; i < 3; i++){

            tiles[i] = new tile();
            tiles[i].number = parts[i].charAt(0) - '0';
            if(parts[i].substring(1,2).equals(""s""))tiles[i].suit = 1;
            if(parts[i].substring(1,2).equals(""m""))tiles[i].suit = 2;
            if(parts[i].substring(1,2).equals(""p""))tiles[i].suit = 3;
            
        }
        Arrays.sort(tiles);

        int[][] tilesObtained = new int[10][4];
        int[][] stairCases = new int[10][4];
        int[][] stairCases2 = new int[10][4];
        for(int i = 0; i < 3; i++){
            int currNumber = tiles[i].number;
            int currSuit = tiles[i].suit;

            tilesObtained[currNumber][currSuit]++;
            stairCases[currNumber][currSuit] = 1 + stairCases[currNumber-1][currSuit];
            if(currNumber != 1){
                if(stairCases2[currNumber-2][currSuit] != 0){
                    stairCases2[currNumber][currSuit] = 2;
                }
                else{
                    stairCases2[currNumber][currSuit] = 1;
                }
            }
            else{
                stairCases2[currNumber][currSuit]++;
            }


        }
        int best = 3;

        for(int i = 1; i <= 9; i++){

            for(int j = 1; j <= 3; j++){

                best = Math.min(best, 3 - tilesObtained[i][j]);
                best = Math.min(best, 3 - stairCases[i][j]);
                best = Math.min(best, 3- stairCases2[i][j]);
                if(best <0)best = 0;
            }
        }
        System.out.println(best);


    }
}","public class Solution {
    static class Tile implements Comparable<Tile> {
        int number;
        int suit;

        public int compareTo(Tile b) {

            return number - b.number;
        }

    }
    public static void main(String[] args) {


        Scanner sc = new Scanner(System.in);
        String line = sc.nextLine();
        String[] parts = line.split("" "");

        Tile[] tiles = new Tile[3];
        for (int i = 0; i < 3; i++) {

            tiles[i] = new Tile();
            tiles[i].number = parts[i].charAt(0) - '0';
            if (parts[i].substring(1, 2).equals(""s"")) tiles[i].suit = 1;
            if (parts[i].substring(1, 2).equals(""m"")) tiles[i].suit = 2;
            if (parts[i].substring(1, 2).equals(""p"")) tiles[i].suit = 3;

        }
        Arrays.sort(tiles);

        int[][] tilesObtained = new int[10][4];
        int[][] stairCases = new int[10][4];
        int[][] stairCases2 = new int[10][4];
        for (int i = 0; i < 3; i++) {
            int currNumber = tiles[i].number;
            int currSuit = tiles[i].suit;

            tilesObtained[currNumber][currSuit]++;
            stairCases[currNumber][currSuit] = 1 + stairCases[currNumber - 1][currSuit];
            if (currNumber != 1) {
                if (stairCases2[currNumber - 2][currSuit] != 0) {
                    stairCases2[currNumber][currSuit] = 2;
                } else {
                    stairCases2[currNumber][currSuit] = 1;
                }
            } else {
                stairCases2[currNumber][currSuit]++;
            }


        }
        int best = 3;

        for (int i = 1; i <= 9; i++) {

            for (int j = 1; j <= 3; j++) {

                best = Math.min(best, 3 - tilesObtained[i][j]);
                best = Math.min(best, 3 - stairCases[i][j]);
                best = Math.min(best, 3 - stairCases2[i][j]);
                if (best < 0) best = 0;
            }
        }
        System.out.println(best);


    }
}",69
"public class Main {
	static Scanner sc = new Scanner(System.in);
	
	public static char returnLetter(int n)
	{
		if(n%4==1)
		{
			return 'A';
		}
		else if(n%4==3)
		{
			return 'B';
		}
		else if(n%4==2)
		{
			return 'C';
		}
		else
		{
			return 'D';
		}
	}
	
	
	public static void main(String[] args) throws IOException {
		String[] a= new String[3];
		
		for (int i = 0; i < a.length; i++) {
			a[i]=sc.next();
		}
		boolean equal=true;
		
		for (int i = 1; i < a.length; i++) {
			if(a[i].charAt(1)!=a[i-1].charAt(1) || a[i].charAt(0)!=a[i-1].charAt(0))
			{
				equal=false;break;
			}
		}
		if(equal)
		{
			System.out.println(0);
		}
		else
		{
			Arrays.sort(a);
			boolean ord=true;
			
			for (int i = 1; i < a.length; i++) {
				if(a[i].charAt(1)!=a[i-1].charAt(1) || a[i].charAt(0)-a[i-1].charAt(0)!=1)
				{
					ord=false;break;
				}
			}
			if(ord)
			{
				System.out.println(0);
			}
			else
			{
				if(a[1].charAt(1)==a[0].charAt(1) && a[1].charAt(0)-a[0].charAt(0)==2)
				{
					System.out.println(1);
				}
				else if(a[2].charAt(1)==a[1].charAt(1) && a[2].charAt(0)-a[1].charAt(0)==2)
				{
					System.out.println(1);

				}
				else if(a[2].charAt(1)==a[0].charAt(1) && a[2].charAt(0)-a[0].charAt(0)==2)
				{
					System.out.println(1);

				}
				else if(a[0].charAt(1)==a[1].charAt(1) && a[0].charAt(0)-a[1].charAt(0)==2)
				{
					System.out.println(1);

				}
				else if(a[1].charAt(1)==a[2].charAt(1) && a[1].charAt(0)-a[2].charAt(0)==2)
				{
					System.out.println(1);

				}
				else if(a[0].charAt(1)==a[2].charAt(1) && a[0].charAt(0)-a[2].charAt(0)==2)
				{
					System.out.println(1);

				}
				else if(a[1].charAt(1)==a[0].charAt(1) && a[1].charAt(0)-a[0].charAt(0)==1)
				{
					System.out.println(1);

				}
				else if(a[2].charAt(1)==a[1].charAt(1) && a[2].charAt(0)-a[1].charAt(0)==1)
				{
					System.out.println(1);
				}
				else if(a[2].charAt(1)==a[0].charAt(1) && a[2].charAt(0)-a[0].charAt(0)==1)
				{
					System.out.println(1);
				}
				else if(a[0].charAt(1)==a[1].charAt(1) && a[0].charAt(0)-a[1].charAt(0)==1)
				{
					System.out.println(1);

				}
				else if(a[1].charAt(1)==a[2].charAt(1) && a[1].charAt(0)-a[2].charAt(0)==1)
				{
					System.out.println(1);

				}
				else if(a[0].charAt(1)==a[2].charAt(1) && a[0].charAt(0)-a[2].charAt(0)==1)
				{
					System.out.println(1);

				}
				else if(a[1].charAt(1)==a[0].charAt(1) && a[1].charAt(0)==a[0].charAt(0))
				{
					System.out.println(1);

				}
				else if(a[2].charAt(1)==a[1].charAt(1) && a[1].charAt(0)==a[2].charAt(0))
				{
					System.out.println(1);

				}
				else
				{
					System.out.println(2);
				}
				
			}
		}
	}
	static class Scanner {
		StringTokenizer st;
		BufferedReader br;
 
		public Scanner(InputStream s) {
			br = new BufferedReader(new InputStreamReader(s));
		}
 
		public String next() throws IOException {
			while (st == null || !st.hasMoreTokens())
				st = new StringTokenizer(br.readLine());
			return st.nextToken();
		}
 
		public int nextInt() throws IOException {
			return Integer.parseInt(next());
		}
 
		public long nextLong() throws IOException {
			return Long.parseLong(next());
		}
 
		public String nextLine() throws IOException {
			return br.readLine();
		}
 
		public double nextDouble() throws IOException {
			String x = next();
			StringBuilder sb = new StringBuilder(""0"");
			double res = 0, f = 1;
			int start = 0;
			boolean dec = false, neg = false;
			if (x.charAt(0) == '-') {
				neg = true;
				start++;
			}
			for (int i = start; i < x.length(); i++)
				if (x.charAt(i) == '.') {
					res = Long.parseLong(sb.toString());
					sb = new StringBuilder(""0"");
					dec = true;
				} else {
					sb.append(x.charAt(i));
					if (dec)
						f *= 10;
				}
			res += Long.parseLong(sb.toString()) / f;
			return res * (neg ? -1 : 1);
		}
 
		public boolean ready() throws IOException {
			return br.ready();
		}
 
	}
}",ERROR,70
"public class Main {
    public static void main(String[] args) {
        InputStream inputStream = System.in;
        OutputStream outputStream = System.out;
        InputReader in = new InputReader(inputStream);
        OutputWriter out = new OutputWriter(outputStream);
        KingEscape solver = new KingEscape();
        solver.solve(1, in, out);
        out.close();
    }

    static class KingEscape {
        public void solve(int testNumber, InputReader in, OutputWriter out) {
            int n = in.nextInt();
            int qx = in.nextInt();
            int qy = in.nextInt();
            int kx = in.nextInt();
            int ky = in.nextInt();
            int safex = in.nextInt();
            int safey = in.nextInt();
            boolean possible = false;
            if (qx > Math.max(kx, safex) || qx < Math.min(kx, safex)) {
                if (qy > Math.max(ky, safey) || qy < Math.min(ky, safey)) {
                    possible = true;
                }
            }
            if (possible) out.println(""YES"");
            else out.println(""NO"");
        }

    }

    static class OutputWriter {
        private final PrintWriter writer;

        public OutputWriter(OutputStream outputStream) {
            writer = new PrintWriter(new BufferedWriter(new OutputStreamWriter(outputStream)));
        }

        public OutputWriter(Writer writer) {
            this.writer = new PrintWriter(writer);
        }

        public void print(Object... objects) {
            for (int i = 0; i < objects.length; i++) {
                if (i != 0) {
                    writer.print(' ');
                }
                writer.print(objects[i]);
            }
        }

        public void println(Object... objects) {
            print(objects);
            writer.println();
        }

        public void close() {
            writer.close();
        }

    }

    static class InputReader {
        private InputStream stream;
        private byte[] buf = new byte[1024];
        private int curChar;
        private int numChars;
        private InputReader.SpaceCharFilter filter;

        public InputReader(InputStream stream) {
            this.stream = stream;
        }

        public int read() {
            if (numChars == -1) {
                throw new InputMismatchException();
            }
            if (curChar >= numChars) {
                curChar = 0;
                try {
                    numChars = stream.read(buf);
                } catch (IOException e) {
                    throw new InputMismatchException();
                }
                if (numChars <= 0) {
                    return -1;
                }
            }
            return buf[curChar++];
        }

        public int nextInt() {
            int c = read();
            while (isSpaceChar(c)) {
                c = read();
            }
            int sgn = 1;
            if (c == '-') {
                sgn = -1;
                c = read();
            }
            int res = 0;
            do {
                if (c < '0' || c > '9') {
                    throw new InputMismatchException();
                }
                res *= 10;
                res += c - '0';
                c = read();
            } while (!isSpaceChar(c));
            return res * sgn;
        }

        public boolean isSpaceChar(int c) {
            if (filter != null) {
                return filter.isSpaceChar(c);
            }
            return isWhitespace(c);
        }

        public static boolean isWhitespace(int c) {
            return c == ' ' || c == '\n' || c == '\r' || c == '\t' || c == -1;
        }

        public interface SpaceCharFilter {
            public boolean isSpaceChar(int ch);

        }

    }
}","static class Main { static void main(String[] args) { InputStream inputStream = System.in; OutputStream outputStream = System.out; InputReader in = new InputReader(inputStream); OutputWriter out = new OutputWriter(outputStream); KingEscape solver = new KingEscape(); solver.solve(1, in, out); out.close(); } static class KingEscape { void solve(int testNumber, InputReader in, OutputWriter out) { int n = in.nextInt(); int qx = in.nextInt(); int qy = in.nextInt(); int kx = in.nextInt(); int ky = in.nextInt(); int safex = in.nextInt(); int safey = in.nextInt(); boolean possible = false; if (qx > Math.max(kx, safex) || qx < Math.min(kx, safex)) { if (qy > Math.max(ky, safey) || qy < Math.min(ky, safey)) { possible = true; } } if (possible) out.println(""YES""); else out.println(""NO""); } } static class OutputWriter { private final PrintWriter writer; OutputWriter(OutputStream outputStream) { writer = new PrintWriter(new BufferedWriter(new OutputStreamWriter(outputStream))); } OutputWriter(Writer writer) { this.writer = new PrintWriter(writer); } void print(Object... objects) { for (int i = 0; i < objects.length; i++) { if (i != 0) { writer.print(' '); } writer.print(objects[i]); } } void println(Object... objects) { print(objects); writer.println(); } void close() { writer.close(); } } static class InputReader { private InputStream stream; private byte[] buf = new byte[1024]; private int curChar; private int numChars; private InputReader.SpaceCharFilter filter; InputReader(InputStream stream) { this.stream = stream; } int read() { if (numChars == -1) { throw new InputMismatchException(); } if (curChar >= numChars) { curChar = 0; try { numChars = stream.read(buf); } catch (IOException e) { throw new InputMismatchException(); } if (numChars <= 0) { return -1; } } return buf[curChar++]; } int nextInt() { int c = read(); while (isSpaceChar(c)) { c = read(); } int sgn = 1; if (c == '-') { sgn = -1; c = read(); } int res = 0; do { if (c < '0' || c > '9') { throw new InputMismatchException(); } res *= 10; res += c - '0'; c = read(); } while (!isSpaceChar(c)); return res * sgn; } boolean isSpaceChar(int c) { if (filter != null) { return filter.isSpaceChar(c); } return isWhitespace(c); } static boolean isWhitespace(int c) { return c == ' ' || c == '\n' || c == '\r' || c == '\t' || c == -1; } } }",71
"public class helloWorld 
{
	public static void main(String[] args) 
	{		
		Scanner in = new Scanner(System.in);
		long n = in.nextLong();
		long m = in.nextLong();
		
		long ans = m / n;
		
		if(m % n > 0)
			ans++;
		
		System.out.println(ans);
		
		in.close();
	}
}","public class helloWorld {
	public static void main(String[] args) {
		Scanner in = new Scanner(System.in);
		long n = in.nextLong();
		long m = in.nextLong();
		long ans = m / n + (m % n > 0 ? 1 : 0);
		System.out.println(ans);
		in.close();
	}
}",72
"public class main {
    public static void main(String[] args) throws IOException {
        init();
        int x = nextInt();
        int y = nextInt();
        int z = nextInt();
        int t1 = nextInt();
        int t2 = nextInt();
        int t3 = nextInt();
        int lift = Math.abs(z - x) * t2 + 2 * t3 + Math.abs(x - y) * t2 + t3;
        int stair = Math.abs(x - y) * t1;
        if (lift <= stair) {
            pw.print(""YES"");
        } else {
            pw.print(""NO"");
        }
        pw.close();
    }

    static StringTokenizer st;
    static BufferedReader sc;
    static PrintWriter pw;

    static String next() throws IOException {
        while (st == null || !st.hasMoreElements()) {
            st = new StringTokenizer(sc.readLine());
        }
        return st.nextToken();
    }

    static int nextInt() throws IOException {
        return Integer.parseInt(next());
    }

    static long nextLong() throws IOException {
        return Long.parseLong(next());
    }

    static void init(String in, String out) throws IOException {
        sc = new BufferedReader(new FileReader(in));
        pw = new PrintWriter(out);
    }

    static void init() {
        sc = new BufferedReader(new InputStreamReader(System.in));
        pw = new PrintWriter(System.out);
    }
}

class DSU {
    int parent[];
    public DSU(int n){
        parent = new int[n];
        for (int i = 0; i < n; i++) {
            parent[i] = i;
        }
    }

    int get(int i){
        if (i == parent[i]){
            return i;
        }
        int p = get(parent[i]);
        parent[i] = p;
        return p;
    }

    boolean union(int a, int b){
        a = get(a);
        b = get(b);
        if (a == b) return false;
        parent[a] = b;
        return true;
    }
}","public class Solution {
    public static void main(String[] args) throws IOException {
        setup();
        int x = readInt();
        int y = readInt();
        int z = readInt();
        int t1 = readInt();
        int t2 = readInt();
        int t3 = readInt();
        int lift = Math.abs(z - x) * t2 + 2 * t3 + Math.abs(x - y) * t2 + t3;
        int stair = Math.abs(x - y) * t1;
        if (lift <= stair) {
            printOutput(""YES"");
        } else {
            printOutput(""NO"");
        }
        closeOutput();
    }

    static StringTokenizer st;
    static BufferedReader sc;
    static PrintWriter pw;

    static String read() throws IOException {
        while (st == null || !st.hasMoreElements()) {
            st = new StringTokenizer(sc.readLine());
        }
        return st.nextToken();
    }

    static int readInt() throws IOException {
        return Integer.parseInt(read());
    }

    static long readLong() throws IOException {
        return Long.parseLong(read());
    }

    static void setup(String in, String out) throws IOException {
        sc = new BufferedReader(new FileReader(in));
        pw = new PrintWriter(out);
    }

    static void setup() {
        sc = new BufferedReader(new InputStreamReader(System.in));
        pw = new PrintWriter(System.out);
    }
}

class DSU {
    int parent[];
    public DSU(int n){
        parent = new int[n];
        for (int i = 0; i < n; i++) {
            parent[i] = i;
        }
    }

    int find(int i){
        if (i == parent[i]){
            return i;
        }
        int p = find(parent[i]);
        parent[i] = p;
        return p;
    }

    boolean merge(int a, int b){
        a = find(a);
        b = find(b);
        if (a == b) return false;
        parent[a] = b;
        return true;
    }
}",73
"public class Main {
    public static void main(String args[]) {
        Scanner sc = new Scanner(System.in);

        long n = sc.nextLong();
        long s = sc.nextLong();

        long ans = (s - 1) / n + 1;
        System.out.print(ans);
    }
}","public class Main { 
    public static void main(String args[]) { 
        Scanner sc = new Scanner(System.in); 

        long n = sc.nextLong(); 
        long s = sc.nextLong(); 

        long ans = (s - 1) / n + 1; 
        System.out.print(ans); 
    } 
}",74
"public class origami {
	public static void main(String args[]){
		Scanner input = new Scanner(System.in);
		double n = input.nextInt();
		double k = input.nextInt();
		double red = 0;
		double green = 0;
		double blue = 0;
		double ans = 0;
		red = (2 * n) / k;
		green = (5 * n) / k;
		blue = (8 * n) / k;

		double red1 = Math.ceil(red) ;
		double green1 = Math.ceil(green);
		double blue1 = Math.ceil(blue);

		ans+=red1;
		ans+=green1;
		ans+=blue1;
		Double answer = new Double(ans);
		int finished = answer.intValue();
		System.out.println(finished);
	}
}","public class PaperFolding {
	public static void main(String args[]) {
		Scanner scanner = new Scanner(System.in);
		double n = scanner.nextInt();
		double k = scanner.nextInt();
		double red = 0;
		double green = 0;
		double blue = 0;
		double ans = 0;
		red = (2.0 * n) / k;
		green = (5.0 * n) / k;
		blue = (8.0 * n) / k;

		double red1 = Math.ceil(red);
		double green1 = Math.ceil(green);
		double blue1 = Math.ceil(blue);

		ans += red1;
		ans += green1;
		ans += blue1;
		Double answer = Double.valueOf(ans);
		int finished = answer.intValue();
		System.out.println(finished);
	}
}",75
"public class VJudgeProblem2{
    public static void main(String[] args) throws IOException{

        BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));

        int x = Integer.parseInt(reader.readLine());

        if (x == 1)
            System.out.println(-1);
        else
            System.out.println(x + "" "" + x);    
    }
        
}","public class VJudgeProblem2 {
    public static void main(String[] args) throws IOException {
        BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));
        int x = Integer.parseInt(reader.readLine());
        if (x == 1) {
            System.out.println(-1);
        } else {
            System.out.println(x + "" "" + x);
        }
    }
}",76
"public class Main{
    public static void main(String [] args)
    {
        Scanner scan=new Scanner(System.in);
        int q=scan.nextInt();
        int i;
        for(i=1;i<=q;i++)
        {
            int a=scan.nextInt();
            int ans=a/7+1;
            System.out.println(ans);
        }
    }
}","public class Main{
    public static void main(String [] args)
    {
        Scanner scan=new Scanner(System.in);
        int q=scan.nextInt();
        int i = 1;
        while(i<=q)
        {
            int a=scan.nextInt();
            int ans=a/7+1;
            System.out.println(ans);
            i++;
        }
    }
}",77
"public class Main {
    static Scanner scan = new Scanner(System.in);

    public static void main(String [] args){
        int num = scan.nextInt();
        for(int i=0;i<num;i++){
            int a = scan.nextInt();
            int b = scan.nextInt();
            System.out.println(a+"" ""+2*a);
        }
    }
}","public class Main {
    static Scanner scan = new Scanner(System.in);

    public static void main(String[] args) {
        int num = scan.nextInt();
        int i = 0;
        while (i < num) {
            int a = scan.nextInt();
            int b = scan.nextInt();
            System.out.println(a + "" "" + 2 * a);
            i++;
        }
    }
}",78
"public class Main{
	public static void main(String[] args) {
		Scanner in = new Scanner(System.in);

		int a = in.nextInt();

		if(a>=1 && a<=100){
			if(a>2){
				if(a%2==0){
					System.out.println(""YES"");
				}else{
					System.out.println(""NO"");
				}
			}else{
				System.out.println(""NO"");
			}
		}
		
		

	}
}","public class Main{
	public static void main(String[] args) {
		Scanner in = new Scanner(System.in);

		int a = in.nextInt();

		if(a >= 0 && a <= 100){
			if(a % 2 == 0 && a > 2){
				System.out.println(""YES"");
			}else{
				System.out.println(""NO"");
			}
		}else{
			System.out.println(""NO"");
		}
	}
}",79
